"1","Outillage",NULL
"2","Outillage manuel","1"
"3","Outillage mécanique","2"
"4","Plants et semis",NULL
"5","Arbres et arbustes",NULL
"6","Pots et accessoires",NULL
"7","Mobilier de jardin",NULL
"8","Matériaux",NULL
"9","Tondeuses éléctriques","3"
"10","Tondeuses à moteur thermique","3"
"11","Débroussailleuses","3"
"12","Sécateurs","2"
"13","Brouettes","2"
"14","Tomates","4"
"15","Poireaux","4"
"16","Salade","4"
"17","Haricots","4"
"18","Thuyas","5"
"19","Oliviers","5"
"20","Pommiers","5"
"21","Pots de fleurs","6"
"22","Soucoupes","6"
"23","Supports","6"
"24","Transats","7"
"25","Parasols","7"
"26","Tonnelles","7"
"27","Barbecues","7"
"28","Lames de terrasse","8"
"29","Grillages","8"
"30","Panneaux de clôture","8"
